soil_moisture_%,soil_pH,temperature_C,rainfall_mm,humidity_%,sunlight_hours,pesticide_usage_ml,total_days,yield_kg_per_hectare,latitude,longitude,NDVI_index,crop_disease_status,sowing_month,harvest_month,days_to_harvest,fertilizer_type_Inorganic,fertilizer_type_Mixed,fertilizer_type_Organic,region_East Africa,region_North India,region_South India,region_South USA,crop_type_Maize,crop_type_Rice,crop_type_Soybean,crop_type_Wheat,irrigation_type_Manual,irrigation_type_Sprinkler,irrigation_type_Unknown
0.7406662837449743,0.24120603015075393,0.140625,0.10229510832428962,0.7394012457303597,0.5442404006677795,0.028736912452662078,0.5333333333333332,4408.07,0.19884856994882716,0.6497970146025307,0.5499999999999998,1,1,5,122,False,False,True,False,True,False,False,False,False,False,True,False,False,True
0.2751292360712234,0.8693467336683418,0.7651209677419353,0.15973310824390052,0.4199316857544707,0.27712854757929883,0.10135887725551349,0.3666666666666667,5389.98,0.2645915361187332,0.04250916789005377,0.4666666666666666,0,2,5,112,True,False,False,False,False,False,True,False,False,True,False,False,True,False
0.5502584721424469,0.829145728643216,0.6234879032258065,0.8652277020780581,0.5754470564597148,0.7045075125208682,0.22744486522610827,0.8999999999999999,2931.16,0.3803020167762009,0.45304623300360314,0.8333333333333333,1,2,6,144,False,True,False,False,False,False,True,False,False,False,True,False,False,False
0.20591614014933945,0.2613065326633168,0.9440524193548383,0.650508460951003,0.6073940124573035,0.1702838063439066,0.46224103363778135,0.7333333333333334,4227.8,0.8434484560533554,0.7760900325858162,0.23333333333333334,0,2,7,134,False,False,True,False,False,False,False,True,False,False,False,False,True,False
0.2645031591039634,0.20603015075376874,0.9506048387096773,0.8799389042967967,0.31143258991360245,0.654424040066778,0.4588995321897973,0.25,4979.96,0.26281063820859973,0.5844066257157565,0.8999999999999999,3,2,5,105,False,True,False,False,False,False,False,False,False,False,False,False,False,True
0.9979896611143021,0.13567839195979925,0.4974798387096775,0.7587925559708992,0.8605585694193291,0.1519198664440734,0.4221430162619737,0.3999999999999999,4383.55,0.5294256125805172,0.9714431991379882,0.8666666666666665,0,1,5,114,False,True,False,False,False,False,False,False,True,False,False,False,True,False
0.7501435956346928,0.7688442211055277,0.342741935483871,0.2942642389163552,0.15430982519590108,0.0016694490818028873,0.7627533971931388,0.9166666666666665,4501.2,0.6093540659818634,0.15205198509103823,0.7666666666666666,0,3,7,145,False,True,False,False,True,False,False,False,False,True,False,True,False,False
0.48650201033888585,0.10552763819095468,0.36592741935483875,0.9894288355641305,0.8059071729957806,0.23873121869782976,0.9480953441746491,0.5166666666666666,5264.09,0.5330206786261183,0.12493510876292069,0.6666666666666665,1,1,5,121,False,True,False,True,False,False,False,True,False,False,False,False,True,False
0.8724870763928777,0.42211055276381915,0.21370967741935476,0.5412195023915753,0.7287522603978301,0.20033388981636058,0.9964357317888173,0.46666666666666656,5598.46,0.12094435552811023,0.22401125983132308,0.3333333333333333,1,3,7,118,True,False,False,False,False,False,False,False,False,True,False,True,False,False
0.0025847214244686945,0.708542713567839,0.05947580645161288,0.06704449535753043,0.026923849708659908,0.3288814691151921,0.6694141234127869,0.1333333333333333,4893.41,0.5765657184238737,0.24233692571755894,0.4666666666666666,3,1,4,98,True,False,False,True,False,False,False,False,True,False,False,False,True,False
0.09276278001148769,0.4271356783919602,0.426915322580645,0.4686281602958319,0.7277476391400443,0.6727879799666108,0.40253954110046786,0.9166666666666665,2437.08,0.1902120038012134,0.4482427292773643,0.4166666666666667,2,2,7,145,False,False,True,False,False,True,False,False,False,False,True,False,False,False
0.8744974152785757,0.07035175879396993,0.814516129032258,0.8594396880903576,0.09383162547719515,0.651085141903172,0.9276008019603474,0.43333333333333335,3942.56,0.8652667575438936,0.9027110116824253,0.16666666666666669,0,1,5,116,False,False,True,False,False,False,True,False,True,False,False,False,False,False
0.9267662263067203,0.78391959798995,0.287298387096774,0.6993046344306445,0.7293550331525015,0.7829716193656093,0.18935174871909113,0.6166666666666667,4942.95,0.7484858244017526,0.056243278048936585,0.5833333333333333,1,1,5,127,False,False,True,False,False,False,True,True,False,False,False,False,False,True
